K,new_K,use_global_prior,learning_rate,avg_corr,median_corr,min_corr,silhouette_avg,dbi,cell_type_column,silhouette_NMF,input_conc,best_elbo,cell_type_accuracy,subtissue_accuracy,age_accuracy,wayp,mean_cell_entropy,overall_cell_total_entropy,Source
50,29,True,0.1,0.6426985863767787,0.651585032238193,0.6067100318440486,0.066961505,4.876724903671415,cell_ontology_class,,0.9840398,88582039.57248087,0.8841309823677582,0.3569269521410579,0.6438287153652393,NO,2.124586850422617,42170.924394038535,BrainOnly
50,31,True,0.1,0.6010854552199466,0.5414267234884573,0.5145305796549119,0.060397018,6.09846852112087,cell_ontology_class,,0.9876839,88541988.57866746,0.8760705289672545,0.3483627204030227,0.6173803526448363,NO,2.1966689174927763,43601.681343314114,BrainOnly
20,20,True,0.1,0.2894967004753497,0.2836670319522236,0.2748991439320729,0.08240193,6.46311304398277,cell_ontology_class,,inf,530910758.83271015,0.8667506297229219,0.3052896725440806,0.4765743073047859,NO,1.951591794319044,38737.145525438704,BrainOnly
50,19,True,0.1,0.6259430177050297,0.633702662513572,0.5497252840319067,0.03514685,5.938193487317733,cell_ontology_class,,0.9866272,88556700.97303526,0.8695214105793451,0.3438287153652393,0.6181360201511334,NO,1.7165469648475489,34071.740705259,BrainOnly
20,20,True,0.1,0.3747263550297436,0.3639387603210698,0.3421901221275544,0.078776225,6.466750867477863,cell_ontology_class,,inf,538393023.137019,0.854911838790932,0.3108312342569269,0.4848866498740554,NO,1.9132653403373447,37976.40374035596,BrainOnly
20,20,True,0.1,0.515435800701096,0.5348587354336445,0.4740749488629103,0.04086259,4.585335263813261,cell_ontology_class,,0.9833975,88222228.58102232,0.881360201511335,0.3465994962216625,0.6191435768261965,NO,1.999640471079204,39690.86371045112,BrainOnly
50,22,True,0.1,0.653322577098986,0.6206113797576017,0.5685557018907463,0.062405366,5.708107311101155,cell_ontology_class,,0.98636055,88616191.1944099,0.8750629722921914,0.3420654911838791,0.6256926952141058,NO,1.9468217597704112,38642.46510968289,BrainOnly
100,10,True,0.1,0.8377471202295919,0.8430940349490819,0.796807359825919,-0.08689836,5.449961868681703,cell_ontology_class,,0.9676387,89515541.33468609,0.8259445843828715,0.3299748110831234,0.5609571788413098,NO,1.5931800181760514,31623.030180776444,BrainOnly
20,20,False,0.1,0.3971444591727133,0.3841658016921309,0.3744495831692472,0.106153965,5.458055036679511,cell_ontology_class,,inf,521799636.5071558,0.863727959697733,0.3125944584382871,0.4629722921914357,NO,1.6920258608531618,33585.02131207441,BrainOnly
50,50,True,0.1,0.2250081856784286,0.2317575272101384,0.2056998560602052,0.051672887,6.549069683509108,cell_ontology_class,,inf,497479945.58116007,0.8536523929471033,0.3110831234256927,0.4904282115869017,NO,2.336941407513908,46385.94999774356,BrainOnly
