cell_id,psap_expression
B5-MAA001895-3_38_F-1-1,2.005782
B6-MAA000932-3_11_M-1-1,1.4739987
B6-MAA001845-3_39_F-1-1,0.097323686
B6-MAA001895-3_38_F-1-1,1.0977876
B7-B003290-3_38_F-1-1,2.6236186
B7-MAA000935-3_8_M-1-1,1.9170141
B7-MAA001845-3_39_F-1-1,0.0
B7-MAA001895-3_38_F-1-1,1.4032215
B8-B003275-3_38_F-1-1,2.0506256
B8-B003290-3_38_F-1-1,2.3277688
B8-MAA000615-3_10_M-1-1,1.9642446
B8-MAA000932-3_11_M-1-1,0.03248811
B8-MAA001854-3_38_F-1-1,2.5560799
B9-B003290-3_38_F-1-1,0.5966986
B9-MAA000932-3_11_M-1-1,2.6466358
B9-MAA001845-3_39_F-1-1,0.47847965
C10-B003275-3_38_F-1-1,1.8873453
C10-B003290-3_38_F-1-1,0.07001739
C10-MAA001845-3_39_F-1-1,0.50338054
C11-MAA000553-3_10_M-1-1,2.6186037
C11-MAA000638-3_9_M-1-1,0.0
C11-MAA000932-3_11_M-1-1,1.201399
C12-B003290-3_38_F-1-1,0.4664835
C12-MAA000553-3_10_M-1-1,0.0
C12-MAA000581-3_10_M-1-1,0.077489085
C12-MAA000641-3_9_M-1-1,2.2574742
C12-MAA001895-3_38_F-1-1,1.4284701
C13-B003275-3_38_F-1-1,3.0033207
C13-B003290-3_38_F-1-1,1.9159786
C13-MAA000581-3_10_M-1-1,2.7271328
C13-MAA000926-3_9_M-1-1,2.440192
C14-B003275-3_38_F-1-1,2.2710354
C14-MAA000926-3_9_M-1-1,1.1778806
C15-B003275-3_38_F-1-1,2.4373498
C15-B003290-3_38_F-1-1,2.1850495
C15-MAA000641-3_9_M-1-1,1.032581
C15-MAA000935-3_8_M-1-1,2.100702
C15-MAA001895-3_38_F-1-1,2.2904751
C16-B003275-3_38_F-1-1,1.5583498
C16-MAA000581-3_10_M-1-1,2.3395834
C16-MAA000926-3_9_M-1-1,2.399191
C16-MAA000944-3_9_M-1-1,2.8838809
C16-MAA000947-3_9_M-1-1,1.7456794
C17-MAA000932-3_11_M-1-1,2.2535603
C18-MAA000581-3_10_M-1-1,2.6765795
C18-MAA000926-3_9_M-1-1,1.3091571
C18-MAA000941-3_8_M-1-1,2.4244125
C19-MAA000581-3_10_M-1-1,2.8632402
C1-MAA000932-3_11_M-1-1,2.0372276
C20-MAA000941-3_8_M-1-1,1.7965624
C20-MAA001895-3_38_F-1-1,1.7924542
C21-B003275-3_38_F-1-1,2.5970428
C21-MAA000424-3_11_M-1-1,2.246141
C21-MAA000581-3_10_M-1-1,1.2223843
C22-MAA000553-3_10_M-1-1,1.898712
C2-B003290-3_38_F-1-1,0.0
C2-MAA001845-3_39_F-1-1,1.4727803
C3-B003290-3_38_F-1-1,1.874001
C3-MAA000932-3_11_M-1-1,1.8686445
C3-MAA001845-3_39_F-1-1,1.7073021
C4-MAA000932-3_11_M-1-1,2.2996635
C4-MAA001845-3_39_F-1-1,1.0953321
C4-MAA001895-3_38_F-1-1,0.7711123
C5-MAA000932-3_11_M-1-1,2.8173683
C5-MAA001895-3_38_F-1-1,0.69429916
C6-B003290-3_38_F-1-1,1.1871984
C7-B003290-3_38_F-1-1,1.3910124
C7-MAA001845-3_39_F-1-1,0.031614393
C8-MAA000932-3_11_M-1-1,0.0749909
C8-MAA001845-3_39_F-1-1,0.054015227
C9-MAA000932-3_11_M-1-1,1.5390903
C9-MAA001845-3_39_F-1-1,1.0328637
D10-MAA000560-3_10_M-1-1,2.364334
D10-MAA001845-3_39_F-1-1,2.5196548
D11-B000621-3_56_F-1-1,2.418579
D11-B003275-3_38_F-1-1,0.102794625
D11-MAA000553-3_10_M-1-1,2.8883572
D11-MAA000638-3_9_M-1-1,2.4516134
D11-MAA001845-3_39_F-1-1,1.8421273
D12-B003290-3_38_F-1-1,1.7800319
D13-B003275-3_38_F-1-1,2.3051133
D13-MAA000941-3_8_M-1-1,2.9300616
D13-MAA000944-3_9_M-1-1,2.6249998
D14-B003275-3_38_F-1-1,1.8009652
D14-B003290-3_38_F-1-1,1.911265
D14-MAA000581-3_10_M-1-1,0.0
D14-MAA000615-3_10_M-1-1,1.8928094
D14-MAA000926-3_9_M-1-1,1.1694243
D14-MAA000930-3_8_M-1-1,1.8338467
D15-B003275-3_38_F-1-1,2.230206
D15-MAA000581-3_10_M-1-1,2.2081113
D15-MAA000926-3_9_M-1-1,1.1525729
