,cell_id_index,cell_type,junction_id_index,junc_count,cluster_count,junction_id,Cluster,gene_id,junc_ratio
852957,328,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,247.0,445,10_60296002_60299097,5903,Psap,0.5550561797752809
852958,329,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,45.0,119,10_60296002_60299097,5903,Psap,0.37815126050420167
852959,330,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,31.0,81,10_60296002_60299097,5903,Psap,0.38271604938271603
852960,331,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,13.0,85,10_60296002_60299097,5903,Psap,0.15294117647058825
852961,332,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,30.0,139,10_60296002_60299097,5903,Psap,0.2158273381294964
852962,333,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,29.0,80,10_60296002_60299097,5903,Psap,0.3625
852963,334,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,205.0,694,10_60296002_60299097,5903,Psap,0.2953890489913545
852964,335,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,59.0,200,10_60296002_60299097,5903,Psap,0.295
852965,336,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,113.0,345,10_60296002_60299097,5903,Psap,0.32753623188405795
852966,337,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,53.0,120,10_60296002_60299097,5903,Psap,0.44166666666666665
852967,338,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,36.0,83,10_60296002_60299097,5903,Psap,0.43373493975903615
852968,339,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,1.0,39,10_60296002_60299097,5903,Psap,0.02564102564102564
852969,340,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,63.0,86,10_60296002_60299097,5903,Psap,0.7325581395348837
852970,341,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,54.0,70,10_60296002_60299097,5903,Psap,0.7714285714285715
852971,342,Brain_Non-Myeloid_oligodendrocyte_precursor_cell,549,36.0,77,10_60296002_60299097,5903,Psap,0.4675324675324675
